#
#  This file lists small molecules (ligands) that are frequently
#  added into crystallization buffer as agents in order to aid
#  crystallization. Normally, they should be ignored in PISA analysis
#  of oligomeric state.
#
#  Only 1st column ("PDB HETcode") is used. When adding additional
#  data, other columns may be left empty. Empty lines and spaces are
#  ignored. 
#
#  The original list is provided by Dr. Anna Panchenko and
#  Dr. Ratna Thangudu from NIH/NCBI.
#
# PDB HETcode,  Chemical Name,  Formula
FCY,  FREE CYSTEINE,C3 H7 N1 O2 S1
FRU,  FRUCTOSE, C6 H12 O6
GBL,  GAMMA-BUTYROLACTONE,C4 H6 O2
GLC,  GLUCOSE,C6 H12 O6
GOL,  GLYCEROL,C3 H8 O3
GLY,  GLYCINE,C2 H5 N1 O2
GPX,  GUANOSINE 5'-DIPHOSPHATE 2':3'-CYCLIC MONOPHOSPHATE,C10 H14 N5 O13 P3
HTO,  "HEPTANE-1,2,3-TRIOL",C7 H16 O3
HTG,  HEPTYL 1-THIOHEXOPYRANOSIDE,C13 H26 O5 S1
B7G,  HEPTYL-BETA-D-GLUCOPYRANOSIDE,C13 H26 O6
C10,  HEXAETHYLENE GLYCOL MONODECYL ETHER,C22 H46 O7
16D,  "HEXANE-1,6-DIAMINE",C6 H16 N2
HEZ,  "HEXANE-1,6-DIOL",C6 H14 O2
IOD,  IODIDE ION,I1
IDO,  IODO GROUP,I1
IOD,  IODO GROUP,I1
ICI,  ISOCITRIC ACID,C6 H8 O7
ICT,  ISOCITRIC ACID,C6 H8 O7
IPA,  ISOPROPYL ALCOHOL,C3 H8 01
TLA,  L(+)-TARTARIC ACID,C4 H6 O6
LAT,  LACTOSE,C12 H22 O11
LBT,  LACTOSE,C12 H22 O11
LDA,  LAURYL DIMETHYLAMINE-N-OXIDE,C14 H31 N1 O1
MN3,  MANGANESE (III) ION,MN1
MRY,  MESO-ERYTRHITOL,C4 H10 O4
MOH,  METHANOL,C1 H4 O1
BEQ,  "N-(CARBOXYMETHYL)-N,N-DIMETHYL-3-[(1-OXODODECYL)AMINO]-1-PROPANAMINIUM INNER SALT",C19 H38 N2 O3
C15,  "N-DODECYL-N,N-DIMETHYL-3-AMMONIO-1-PROPANESULFONATE",C17 H38 N1 O3 S1
MG8,  N-OCTANOYL-N-METHYLGLUCAMINE,C15 H31 N1 O6
POL,  N-PROPANOL,C3 H8 O1
NO3,  NITRATE ION,N1 O3
JEF,  O-(O-(2-AMINOPROPYL)-O'-(2-METHOXYETHYL)POLYPROPYLENEGLYCOL 500),C31 H65 N1 O10
P4C,  O-ACETALDEHYDYL-HEXAETHYLENE GLYCOL,C14 H28 O8
CE1,  O-DODECANYL OCTAETHYLENE GLYCOL,C28 H58 O9
DIA,  "OCTANE 1,8-DIAMINE",C8 H20 N2
CXE,  PENTAETHYLENE GLYCOL MONODECYL ETHER,C20 H42 O6
IPH,  PHENOL,C6 H6 O1
PIN,  "PIPERAZINE-N,N'-BIS(2-ETHANESULFONIC ACID)",C8 H18 N2 O6 S2
15P,  POLYETHYLENE GLYCOL (N=34),C69 H140 O35
CRY,  "PROPANE-1,2,3-TRIOL",C3 H8 O3
GOL,  "PROPANE-1,2,3-TRIOL",C3 H8 O3
PGR,  "R-1,2-PROPANEDIOL",C3 H8 O2
PGO,  "S-1,2-PROPANEDIOL",C3 H8 O2
PGQ,  "S-1,2-PROPANEDIOL",C3 H8 O2
SPD,  SPERMIDINE,C7 H19 N3
SPK,  SPERMINE (FULLY PROTONATED FORM),C10 H30 N4 4+
SPM,  SPERMINE,C10 H26 N4
SUC,  SUCROSE,C12 H22 O11
SO4,  SULFATE ANION,O4 S1
SUL,  SULFATE ANION,O4 S1
SO4,  SULFATE ION,O4 S1
TBU,  TERTIARY-BUTYL ALCOHOL,C4 H10 O1
TMA,  TETRAMETHYLAMMONIUM ION,C4 H12 N1 1+
TEP,  THEOPHYLLINE,C7 H8 N4 O2
SCN,  THIOCYANATE ION,C1 N1 S1
TRE,  TREHALOSE,C12 H22 O11
PGE,  TRIETHYLENE GLYCOL,C6 H14 O4
ETF,  TRIFLUOROETHANOL,C2 H3 O1 F3
144,  TRIS-HYDROXYMETHYL-METHYL-AMMONIUM,C4 H12 N1 O3
UMQ,  UNDECYL-MALTOSIDE,C23 H44 O11
URE,  UREA,C1 H4 N2 O1
YT3,  YTTRIUM (III) ION,Y1
ZN2,  ZINC ION ON 3-FOLD CRYSTAL AXIS,ZN1
FE2,  FE (II) ION,FE1
3NI,  NICKEL (III) ION,NI1
AL,   ALUMINUM ION,AL1
BA,   BARIUM ION,BA1
BR,   BROMIDE ION,BR1
BR,   BROMO GROUP,BR1
CD,   CADMIUM ION,CD1
CA,   CALCIUM ION,CA1
CM,   CARBOXYMETHYL GROUP,C2 H3 O2
CS,   CESIUM ION,CS1
CL,   CHLORIDE ION,CL1
CL,   CHLORO GROUP,CL1
CO,   COBALT (II) ION,CO1
CU,   COPPER (II) ION,CU1
CN,   CYANIDE GROUP,C1 N1
FE,   FE (III) ION,FE1
PB,   LEAD (II) ION,PB1
LI,   LITHIUM ION,LI1
MG,   MAGNESIUM ION,MG1
MN,   MANGANESE (II) ION,MN1
HG,   MERCURY (II) ION,HG1
NI,   NICKEL (II) ION,NI1
RB,   RUBIDIUM ION,RB1
AG,   SILVER ION,AG1 1+
NA,   SODIUM ION,NA1
SR,   STRONTIUM ION,SR1
Y1,   YTTRIUM ION,Y1
ZN,   ZINC ION ON 3-FOLD CRYSTAL AXIS,ZN1
ZN,   ZINC ION,ZN1
F,    FLUORIDE ION,F1
F,    FLUORO GROUP,F1
K,    POTASSIUM ION,K1
